name,age,country,value,position,season,team
Neto Borges,28,Brazil,€3.00m,Left-Back,2024,fc-middlesbrough
Lukas Engel,25,Denmark,€2.20m,Left-Back,2024,fc-middlesbrough
Alex Bangura,25,"Sierra Leone, Netherlands",€1.00m,Left-Back,2024,fc-middlesbrough
Anfernee Dijksteel,28,"Suriname, Netherlands",€1.20m,Right-Back,2024,fc-middlesbrough
Luke Ayling,33,England,€800k,Right-Back,2024,fc-middlesbrough
Tommy Smith,32,England,€350k,Right-Back,2024,fc-middlesbrough
Hayden Hackney,22,"England, Scotland",€7.00m,Defensive Midfield,2024,fc-middlesbrough
Dan Barlaser,27,"England, Türkiye",€2.20m,Defensive Midfield,2024,fc-middlesbrough
Riley McGree,26,Australia,€3.50m,Central Midfield,2024,fc-middlesbrough
Aidan Morris,23,"United States, Canada",€3.50m,Central Midfield,2024,fc-middlesbrough
Jonathan Howson,36,England,€200k,Central Midfield,2024,fc-middlesbrough
Finn Azaz,24,"Ireland, England",€5.00m,Attacking Midfield,2024,fc-middlesbrough
Alex Gilbert,22,"Ireland, England",€500k,Attacking Midfield,2024,fc-middlesbrough
Micah Hamilton,21,"England, Jamaica",€3.20m,Left Winger,2024,fc-middlesbrough
Delano Burgzorg,26,"Suriname, Netherlands",€2.20m,Left Winger,2024,fc-middlesbrough
Ben Doak,19,Scotland,€10.00m,Right Winger,2024,fc-middlesbrough
Isaiah Jones,25,"Guyana, England",€4.00m,Right Winger,2024,fc-middlesbrough
Emmanuel Latte Lath,25,"Cote d'Ivoire, Italy",€6.00m,Centre-Forward,2024,fc-middlesbrough
Tommy Conway,22,"Scotland, England",€4.80m,Centre-Forward,2024,fc-middlesbrough
Marcus Forss,25,Finland,€2.80m,Centre-Forward,2024,fc-middlesbrough
Matthew Hoppe,23,United States,€600k,Centre-Forward,2024,fc-middlesbrough
Angus Gunn,28,"Scotland, England",€2.50m,Goalkeeper,2024,norwich-city
George Long,31,England,€500k,Goalkeeper,2024,norwich-city
Archie Mair,23,Scotland,€0,Goalkeeper,2024,norwich-city
Callum Doyle,21,England,€15.00m,Centre-Back,2024,norwich-city
José Córdoba,23,Panama,€4.50m,Centre-Back,2024,norwich-city
Shane Duffy,32,"Ireland, Northern Ireland",€1.00m,Centre-Back,2024,norwich-city
Grant Hanley,33,Scotland,€900k,Centre-Back,2024,norwich-city
Brad Hills,20,England,€450k,Centre-Back,2024,norwich-city
Jonathan Tomkinson,22,"United States, England",€125k,Centre-Back,2024,norwich-city
Jaden Warner,22,England,€50k,Centre-Back,2024,norwich-city
Ben Chrisene,20,England,€1.50m,Left-Back,2024,norwich-city
Jack Stacey,28,England,€2.80m,Right-Back,2024,norwich-city
Kellen Fisher,20,England,€800k,Right-Back,2024,norwich-city
Jacob Lungi Sørensen,26,Denmark,€1.00m,Defensive Midfield,2024,norwich-city
Amankwah Forson,21,Ghana,€5.00m,Central Midfield,2024,norwich-city
Marcelino Núñez,24,Chile,€5.00m,Central Midfield,2024,norwich-city
Anis Slimane,23,"Tunisia, Denmark",€2.50m,Central Midfield,2024,norwich-city
Liam Gibbs,21,England,€2.20m,Central Midfield,2024,norwich-city
Kenny McLean,32,Scotland,€900k,Central Midfield,2024,norwich-city
Emiliano Marcondes,29,"Denmark, Brazil",€1.50m,Attacking Midfield,2024,norwich-city
Gabe Forsyth,18,Scotland,€100k,Attacking Midfield,2024,norwich-city
Borja Sainz,23,Spain,€2.20m,Left Winger,2024,norwich-city
Onel Hernández,31,"Cuba, Germany",€800k,Left Winger,2024,norwich-city
Christian Fassnacht,31,Switzerland,€2.50m,Right Winger,2024,norwich-city
Kaide Gordon,20,"England, Jamaica",€1.20m,Right Winger,2024,norwich-city
Tony Springett,22,"Ireland, England",€500k,Right Winger,2024,norwich-city
Oscar Schwartau,18,Denmark,€2.20m,Second Striker,2024,norwich-city
Josh Sargent,24,United States,€14.00m,Centre-Forward,2024,norwich-city
Ante Crnac,20,Croatia,€8.00m,Centre-Forward,2024,norwich-city
Ashley Barnes,35,England,€500k,Centre-Forward,2024,norwich-city
Oliver Dovin,22,"Sweden, England",€2.50m,Goalkeeper,2024,coventry-city
Brad Collins,27,England,€1.20m,Goalkeeper,2024,coventry-city
Ben Wilson,32,England,€800k,Goalkeeper,2024,coventry-city
Cian Tyler,22,"Wales, England",€50k,Goalkeeper,2024,coventry-city
Liam Kitching,25,"England, Ireland",€3.80m,Centre-Back,2024,coventry-city
Joel Latibeaudiere,24,"Jamaica, England",€3.00m,Centre-Back,2024,coventry-city
Bobby Thomas,23,England,€2.50m,Centre-Back,2024,coventry-city
Luis Binks,23,"England, Scotland",€2.20m,Centre-Back,2024,coventry-city
Jay Dasilva,26,"Wales, England",€2.20m,Left-Back,2024,coventry-city
Jake Bidwell,31,England,€1.50m,Left-Back,2024,coventry-city
Harvey Broad,19,England,€0,Left-Back,2024,coventry-city
Milan van Ewijk,24,"Netherlands, Suriname",€8.00m,Right-Back,2024,coventry-city
Ben Sheaf,26,England,€7.00m,Defensive Midfield,2024,coventry-city
Josh Eccles,24,England,€7.00m,Central Midfield,2024,coventry-city
Jack Rudoni,23,England,€5.50m,Central Midfield,2024,coventry-city
Victor Torp,25,Denmark,€2.00m,Central Midfield,2024,coventry-city
Jamie Allen,29,England,€1.00m,Central Midfield,2024,coventry-city
Kai Andrews,18,"Wales, England",€250k,Central Midfield,2024,coventry-city
Tatsuhiro Sakamoto,28,Japan,€2.50m,Right Midfield,2024,coventry-city
Haji Wright,26,"United States, Liberia",€7.00m,Left Winger,2024,coventry-city
Ephron Mason-Clark,25,England,€4.50m,Left Winger,2024,coventry-city
Raphael Borges Rodrigues,21,"Australia, Brazil",€400k,Left Winger,2024,coventry-city
Ellis Simms,23,England,€7.00m,Centre-Forward,2024,coventry-city
Brandon Thomas-Asante,25,"Ghana, England",€3.00m,Centre-Forward,2024,coventry-city
Norman Bassette,20,Belgium,€2.00m,Centre-Forward,2024,coventry-city
Fábio Tavares,23,"Portugal, England",€250k,Centre-Forward,2024,coventry-city
Carl Rushworth,23,England,€3.00m,Goalkeeper,2024,hull-city
Ivor Pandur,24,Croatia,€2.00m,Goalkeeper,2024,hull-city
Anthony Racioppi,25,"Switzerland, France",€1.50m,Goalkeeper,2024,hull-city
Thimothée Lo-Tutala,21,"France, England",€350k,Goalkeeper,2024,hull-city
Harvey Cartwright,22,England,€200k,Goalkeeper,2024,hull-city
Alfie Jones,27,England,€4.00m,Centre-Back,2024,hull-city
Charlie Hughes,21,England,€3.50m,Centre-Back,2024,hull-city
Sean McLoughlin,28,Ireland,€1.50m,Centre-Back,2024,hull-city
Finley Burns,21,England,€1.00m,Centre-Back,2024,hull-city
Andy Smith,23,England,€175k,Centre-Back,2024,hull-city
Ryan Giles,24,England,€5.00m,Left-Back,2024,hull-city
Matty Jacob,23,England,€100k,Left-Back,2024,hull-city
Cody Drameh,22,"England, The Gambia",€3.00m,Right-Back,2024,hull-city
Lewie Coyle,29,England,€1.80m,Right-Back,2024,hull-city
Óscar Zambrano,20,Ecuador,€2.80m,Defensive Midfield,2024,hull-city
Xavier Simons,21,England,€700k,Defensive Midfield,2024,hull-city
Steven Alzate,26,"Colombia, England",€4.00m,Central Midfield,2024,hull-city
Regan Slater,25,England,€3.50m,Central Midfield,2024,hull-city
Gustavo Puerta,21,Colombia,€3.00m,Central Midfield,2024,hull-city
Abdülkadir Ömür,25,Türkiye,€7.00m,Attacking Midfield,2024,hull-city
Marvin Mehlem,27,Germany,€2.50m,Attacking Midfield,2024,hull-city
Kasey Palmer,28,"Jamaica, England",€1.00m,Attacking Midfield,2024,hull-city
Harry Vaughan,20,"Ireland, England",€400k,Attacking Midfield,2024,hull-city
Liam Millar,25,"Canada, England",€3.50m,Left Winger,2024,hull-city
Doğukan Sinik,25,Türkiye,€2.00m,Left Winger,2024,hull-city
Ryan Longman,24,England,€2.00m,Left Winger,2024,hull-city
Mohamed Belloumi,22,Algeria,€5.00m,Right Winger,2024,hull-city
Abu Kamara,21,"England, Sierra Leone",€4.00m,Right Winger,2024,hull-city
João Pedro,32,"Italy, Brazil",€3.00m,Centre-Forward,2024,hull-city
Chris Bedia,28,"Cote d'Ivoire, France",€2.50m,Centre-Forward,2024,hull-city
Mason Burstow,21,"England, Jamaica",€2.00m,Centre-Forward,2024,hull-city
Will Jarvis,21,England,€300k,Centre-Forward,2024,hull-city
Alex Palmer,28,England,€1.20m,Goalkeeper,2024,west-bromwich-albion
Joe Wildsmith,28,England,€500k,Goalkeeper,2024,west-bromwich-albion
Ted Cann,23,England,€100k,Goalkeeper,2024,west-bromwich-albion
Mason Holgate,28,"Jamaica, England",€5.00m,Centre-Back,2024,west-bromwich-albion
Paddy McNair,29,Northern Ireland,€3.50m,Centre-Back,2024,west-bromwich-albion
Semi Ajayi,31,"Nigeria, England",€1.50m,Centre-Back,2024,west-bromwich-albion
Torbjørn Heggem,25,Norway,€1.00m,Centre-Back,2024,west-bromwich-albion
Kyle Bartley,33,"England, Jamaica",€350k,Centre-Back,2024,west-bromwich-albion
Gianluca Frabotta,25,Italy,€1.20m,Left-Back,2024,west-bromwich-albion
Darnell Furlong,29,"England, Montserrat",€3.50m,Right-Back,2024,west-bromwich-albion
Uroš Račić,26,Serbia,€2.50m,Defensive Midfield,2024,west-bromwich-albion
Ousmane Diakité,24,Mali,€700k,Defensive Midfield,2024,west-bromwich-albion
Alex Mowatt,29,"England, Scotland",€3.50m,Central Midfield,2024,west-bromwich-albion
John Swift,29,England,€3.20m,Central Midfield,2024,west-bromwich-albion
