player,nation_stats_standard,squad,age_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,playing_time_90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Tyrell Sellars-Fleming,ENG,Hull City,19,Midfielder,480.0,5.333333333333333,18.75,0.0,0.1875,0.0,0.0,0.375,0.0,0.5625,1.125,0.0,0.1875,0.1875,0.0,0.0,0.1875,0.0,0.1875,0.1875
Sol Sidibé,FRA,Stoke City,17,Midfielder,1440.0,16.0,4.9875,0.0625,0.0625,0.0,0.0,0.4375,0.0625,5.25,0.9375,0.125,0.0,0.0625,0.125,3.125,0.0,0.125,0.125,0.75
Arnór Sigurðsson,ISL,Blackburn,25,Forward,1135.0,12.61111111111111,7.0176211453744495,0.0,0.07929515418502203,0.07929515418502203,3.9647577092511015,0.31718061674008813,0.07929515418502203,0.9515418502202644,1.3480176211453745,0.15859030837004406,0.07929515418502203,0.4757709251101322,0.07929515418502203,2.6405286343612335,0.07929515418502203,0.07929515418502203,0.0,0.39647577092511016
Ellis Simms,ENG,Coventry City,23,Forward,982.0,10.911111111111111,6.177189409368636,0.09164969450101833,0.09164969450101833,0.18329938900203666,3.05193482688391,1.0997963340122199,0.0,5.865580448065173,7.3319755600814664,0.18329938900203666,1.0997963340122199,2.74949083503055,0.0,4.582484725050916,0.3665987780040733,0.0,0.0,1.1914460285132382
Nathan Simpson,ENG,Middlesbrough,20,Forward,942.0,10.466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19108280254777069,0.0,0.0,0.09554140127388534,0.0,0.0,0.0,0.0,0.0,0.0
Michael Smith,ENG,Sheffield Weds,33,Forward,1037.0,11.522222222222222,5.311475409836066,0.17357762777242045,0.4339440694310511,0.4339440694310511,4.131147540983607,2.1697203471552555,0.3471552555448409,11.36933461909354,11.45612343297975,0.17357762777242045,0.26036644165863065,3.8187078109932497,0.17357762777242045,5.250723240115718,0.4339440694310511,0.6075216972034716,0.3471552555448409,1.3018322082931533
Paul Smyth,NIR,QPR,27,Forward,1234.0,13.71111111111111,4.696920583468396,0.07293354943273907,1.3857374392220423,0.0,2.3047001620745546,3.354943273905997,0.29173419773095627,14.513776337115074,20.931928687196113,1.0210696920583469,4.084278768233387,7.293354943273906,0.7293354943273906,3.0048622366288495,4.594813614262561,1.312803889789303,0.07293354943273907,3.0632090761750406
Manor Solomon,ISR,Leeds United,25,Forward,1710.0,19.0,4.405263157894737,0.05263157894736842,0.8947368421052632,0.10526315789473684,1.8789473684210527,1.5789473684210527,0.15789473684210525,5.947368421052632,12.842105263157896,0.8421052631578947,1.894736842105263,4.684210526315789,0.10526315789473684,0.0,1.3157894736842106,0.6842105263157895,0.15789473684210525,1.736842105263158
John Swift,ENG,West Brom,29,Midfielder,821.0,9.122222222222222,9.263093788063339,0.0,1.0962241169305724,0.0,0.7783191230207065,4.823386114494519,0.10962241169305725,47.247259439707676,23.45919610231425,0.7673568818514007,1.8635809987819734,3.836784409257004,0.5481120584652862,5.799025578562729,4.275274056029233,1.6443361753958587,0.438489646772229,3.7271619975639467
Jakob Sørensen,DEN,Norwich City,26,Midfielder,756.0,8.4,10.416666666666666,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,25.952380952380953,4.761904761904762,0.0,0.23809523809523808,0.47619047619047616,0.0,8.928571428571429,0.11904761904761904,1.1904761904761905,0.47619047619047616,1.6666666666666665
