player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,total_cmp_stats_passing,total_att_stats_passing,total_cmp%_stats_passing,short_cmp_stats_passing,short_att_stats_passing,short_cmp%_stats_passing,medium_cmp_stats_passing,medium_att_stats_passing,medium_cmp%_stats_passing,long_cmp_stats_passing,long_att_stats_passing,long_cmp%_stats_passing,ast_stats_passing,1_3_stats_passing,ppa_stats_passing,prgp_stats_passing,pass_types_tb_stats_passing_types,pass_types_sw_stats_passing_types,pass_types_crs_stats_passing_types,outcomes_cmp_stats_passing_types,outcomes_blocks_stats_passing_types,sca_sca_stats_gca,gca_gca_stats_gca,tackles_tkl_stats_defense,tackles_tklw_stats_defense,tackles_def_3rd_stats_defense,tackles_mid_3rd_stats_defense,tackles_att_3rd_stats_defense,blocks_blocks_stats_defense,blocks_sh_stats_defense,blocks_pass_stats_defense,int_stats_defense,clr_stats_defense,err_stats_defense,touches_touches_stats_possession,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,touches_att_pen_stats_possession,take_ons_att_stats_possession,take_ons_succ_stats_possession,take_ons_succ%_stats_possession,carries_carries_stats_possession,carries_prgc_stats_possession,carries_1_3_stats_possession,carries_cpa_stats_possession,carries_mis_stats_possession,carries_dis_stats_possession,receiving_rec_stats_possession,receiving_prgr_stats_possession,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc,performance_recov_stats_misc,aerial_duels_won_stats_misc,aerial_duels_lost_stats_misc,aerial_duels_won%_stats_misc
Adam Davies,WAL,Sheffield Utd,32,1992,2.0,,Goalkeeper,0,0,0,0,0.00,0.00,50,69,72.5,9,9,100.0,28,28,100.0,13,31,41.9,0,2,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,36,0,0,0,0,0,38,0,0.1,2,6,0,0,0,0,1,0,0,0
Tom Davies,ENG,Sheffield Utd,26,1998,0.0,,Forward,0,0,0,0,0.00,0.00,7,7,100.0,5,5,100.0,2,2,100.0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,0,6,0,0,0,0,0,6,2,3.4,6,302,0,0,0,0,0,0,0,0
James Debayo,ENG,Leeds United,19,2005,0.0,,Defender,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4,271,0,0,0,0,0,0,0,0
Tom Dele-Bashiru,NGA,Watford,25,1999,8.9,,Midfielder,2,9,2,22.2,1.01,0.23,401,434,92.4,224,234,95.7,143,156,91.7,17,21,81.0,0,28,3,32,0,0,3,401,6,16,1,10,8,7,2,1,11,4,7,8,8,0,522,323,83,8,15,5,33.3,266,3,4,0,9,5,379,9,0.6,5,57,0,3,8,8,40,4,3,57.1
Karamoko Dembélé,ENG,QPR,21,2003,8.5,Midfielder,Forward,1,15,4,26.7,1.77,0.47,200,288,69.4,112,127,88.2,67,100,67.0,15,46,32.6,3,23,15,33,2,2,46,200,4,37,3,7,5,2,2,3,2,1,1,4,4,0,374,166,175,17,24,14,58.3,204,18,15,3,22,15,258,56,3.0,3,270,3,46,4,5,34,6,8,42.9
Siriki Dembélé,CIV,Oxford United,28,1996,5.1,,Midfielder,0,12,0,0.0,2.37,0.00,85,114,74.6,52,61,85.2,22,33,66.7,3,5,60.0,0,8,1,7,1,2,7,85,4,13,1,12,6,4,3,5,9,0,9,4,3,0,199,86,85,22,22,4,18.2,129,20,6,12,16,12,140,29,1.8,10,164,3,7,4,6,22,2,8,20.0
Rav van den Berg,NED,Middlesbrough,20,2004,7.2,,Defender,0,1,0,0.0,0.14,0.00,388,417,93.0,160,169,94.7,193,206,93.7,31,35,88.6,0,34,2,34,2,2,1,388,1,3,0,5,3,3,2,0,5,3,2,7,29,0,475,252,21,4,1,0,0.0,256,0,3,0,5,0,342,2,1.2,2,105,0,1,7,3,23,17,10,63.0
Terry Devlin,NIR,Portsmouth,21,2003,4.4,Forward,Defender,0,2,0,0.0,0.45,0.00,103,177,58.2,40,49,81.6,49,85,57.6,11,32,34.4,0,12,3,13,1,0,4,103,6,4,0,8,6,6,2,0,3,1,2,16,22,0,246,123,50,2,2,0,0.0,73,2,3,0,8,3,74,3,13.0,16,1172,0,4,16,6,19,19,11,63.3
Ousmane Diakité,MLI,West Brom,24,2000,1.1,Forward,Midfielder,0,0,0,0,0.00,0.00,44,53,83.0,21,25,84.0,22,25,88.0,0,1,0.0,0,2,0,4,0,0,0,44,1,1,0,9,6,1,7,1,5,1,4,1,5,0,74,40,13,1,1,0,0.0,35,2,1,0,0,2,41,3,2.4,7,213,0,0,1,6,8,4,3,57.1
Grady Diangana,COD,West Brom,26,1998,5.9,Forward,Midfielder,0,7,1,14.3,1.19,0.17,176,219,80.4,98,116,84.5,66,80,82.5,8,11,72.7,0,18,7,28,3,0,3,176,8,10,2,12,8,8,2,2,7,0,7,3,4,0,302,153,122,16,17,6,35.3,183,11,10,2,21,13,237,38,7.4,12,666,1,3,3,8,24,5,12,29.4
