player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,total_cmp_stats_passing,total_att_stats_passing,total_cmp%_stats_passing,short_cmp_stats_passing,short_att_stats_passing,short_cmp%_stats_passing,medium_cmp_stats_passing,medium_att_stats_passing,medium_cmp%_stats_passing,long_cmp_stats_passing,long_att_stats_passing,long_cmp%_stats_passing,ast_stats_passing,1_3_stats_passing,ppa_stats_passing,prgp_stats_passing,pass_types_tb_stats_passing_types,pass_types_sw_stats_passing_types,pass_types_crs_stats_passing_types,outcomes_cmp_stats_passing_types,outcomes_blocks_stats_passing_types,sca_sca_stats_gca,gca_gca_stats_gca,tackles_tkl_stats_defense,tackles_tklw_stats_defense,tackles_def_3rd_stats_defense,tackles_mid_3rd_stats_defense,tackles_att_3rd_stats_defense,blocks_blocks_stats_defense,blocks_sh_stats_defense,blocks_pass_stats_defense,int_stats_defense,clr_stats_defense,err_stats_defense,touches_touches_stats_possession,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,touches_att_pen_stats_possession,take_ons_att_stats_possession,take_ons_succ_stats_possession,take_ons_succ%_stats_possession,carries_carries_stats_possession,carries_prgc_stats_possession,carries_1_3_stats_possession,carries_cpa_stats_possession,carries_mis_stats_possession,carries_dis_stats_possession,receiving_rec_stats_possession,receiving_prgr_stats_possession,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc,performance_recov_stats_misc,aerial_duels_won_stats_misc,aerial_duels_lost_stats_misc,aerial_duels_won%_stats_misc
Callum Styles,HUN,West Brom,24,2000,7.4,,Defender,0,4,0,0.0,0.54,0.00,256,330,77.6,133,143,93.0,104,139,74.8,16,36,44.4,0,22,5,28,1,2,12,256,8,15,1,8,7,3,4,1,8,2,6,8,29,0,409,183,87,5,8,3,37.5,190,16,14,3,8,7,232,23,18.0,18,1620,0,12,8,7,19,6,12,33.3
Zak Swanson,ENG,Portsmouth,24,2000,6.0,,Defender,0,2,0,0.0,0.33,0.00,179,240,74.6,89,102,87.3,72,96,75.0,17,31,54.8,0,13,3,20,0,1,11,179,5,8,1,17,12,9,6,2,10,5,5,11,13,2,309,151,70,6,7,3,42.9,131,6,5,0,8,1,158,21,10.8,16,976,1,11,11,12,15,15,5,75.0
John Swift,ENG,West Brom,29,1995,9.7,,Midfielder,0,14,1,7.1,1.44,0.10,580,686,84.5,313,338,92.6,206,229,90.0,43,81,53.1,0,58,10,69,5,5,39,580,8,44,1,15,10,7,5,3,4,0,4,4,8,1,757,431,214,17,14,7,50.0,447,17,18,4,6,10,574,35,9.1,15,821,1,39,4,10,34,9,8,52.9
Mark Sykes,IRL,Bristol City,27,1997,8.0,Defender,Forward,0,10,5,50.0,1.25,0.62,195,282,69.1,101,129,78.3,78,106,73.6,12,25,48.0,1,13,13,22,1,3,35,195,16,17,3,8,6,1,4,3,13,4,9,8,22,0,369,148,163,34,19,8,42.1,227,27,8,12,11,8,256,64,0,0,0,3,35,8,6,36,12,14,46.2
Sammie Szmodics,IRL,Blackburn,29,1995,0.3,,Midfielder,1,1,1,100.0,3.46,3.46,3,3,100.0,0,0,0,2,2,100.0,0,0,0,1,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,3,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0.0
Kornél Szűcs,HUN,Plymouth Argyle,23,2001,14.1,,Defender,0,4,2,50.0,0.28,0.14,662,751,88.1,179,193,92.7,419,452,92.7,59,94,62.8,0,17,4,28,0,0,2,662,6,17,4,19,10,9,9,1,17,14,3,13,78,1,895,339,24,4,1,1,100.0,496,4,1,0,5,3,601,2,7.1,11,643,0,2,13,10,31,22,20,52.4
Elias Sørensen,DEN,Portsmouth,25,1999,3.4,,Forward,1,5,2,40.0,1.49,0.59,44,69,63.8,20,35,57.1,17,22,77.3,2,2,100.0,0,3,2,3,0,0,2,44,2,6,0,4,4,4,0,0,3,0,3,2,3,0,103,39,48,11,5,2,40.0,48,0,1,0,11,3,61,15,0,0,0,2,2,2,4,12,5,15,25.0
Jakob Sørensen,DEN,Norwich City,26,1998,4.7,,Midfielder,0,1,0,0.0,0.21,0.00,301,344,87.5,153,169,90.5,129,140,92.1,12,21,57.1,0,25,0,21,1,3,1,301,3,3,0,10,6,6,0,4,7,3,4,4,9,0,385,218,40,3,0,0,0,225,2,3,0,1,4,293,4,8.4,9,756,0,1,4,6,14,6,2,75.0
Ao Tanaka,JPN,Leeds United,26,1998,12.7,,Midfielder,0,15,3,20.0,1.18,0.24,939,1029,91.3,460,486,94.7,389,415,93.7,75,97,77.3,0,95,18,104,2,5,9,939,10,34,4,36,21,13,19,4,13,4,9,18,12,0,1149,724,199,8,12,6,50.0,690,13,17,1,6,4,849,14,0,0,0,2,9,18,21,81,7,9,43.8
Japhet Tanganga,ENG,Millwall,25,1999,15.0,,Defender,2,17,3,17.6,1.13,0.20,351,457,76.8,77,100,77.0,222,257,86.4,50,88,56.8,0,22,3,21,1,4,0,351,8,8,0,15,10,9,6,0,16,12,4,8,76,0,632,222,48,27,6,3,50.0,295,4,2,2,12,5,325,4,3.0,6,272,0,0,8,10,53,39,20,66.1
