player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting
Oliver Greaves,ENG,Newport County,22,2001,2.9,Midfielder,Forward,1,3,2,66.7,1.03,0.69
Kieran Green,ENG,Grimsby Town,27,1997,9.5,,Midfielder,2,16,6,37.5,1.69,0.63
Will Grigg,NIR,Chesterfield,33,1991,10.6,,Forward,7,17,10,58.8,1.60,0.94
Jamie Grimes,ENG,Chesterfield,33,1990,5.2,,Defender,2,4,2,50.0,0.77,0.39
Callum Guy,ENG,Carlisle United,28,1996,5.3,,Midfielder,0,6,0,0.0,1.13,0.00
Antwoine Hackford,ENG,Port Vale,20,2004,3.1,,Forward,2,4,3,75.0,1.28,0.96
Connor Hall,ENG,Port Vale,31,1993,16.0,,Defender,0,15,2,13.3,0.94,0.12
George Hall,ENG,Walsall,20,2004,1.6,Forward,Midfielder,0,1,0,0.0,0.64,0.00
Grant Hall,ENG,Swindon Town,33,1991,5.3,,Defender,0,2,0,0.0,0.38,0.00
Brad Halliday,ENG,Bradford City,29,1995,12.7,Defender,Midfielder,0,2,0,0.0,0.16,0.00
Riley Harbottle,ENG,AFC Wimbledon,24,2000,10.2,,Defender,0,6,2,33.3,0.59,0.20
Cameron Harper,SCO,Carlisle United,23,2001,11.8,Defender,Midfielder,0,8,3,37.5,0.68,0.25
Rekeem Harper,ENG,Port Vale,24,2000,0.5,,Midfielder,0,1,0,0.0,1.87,0.00
Kayden Harrack,GRN,Morecambe,21,2003,4.0,,Midfielder,0,0,0,0,0.00,0.00
Kian Harratt,ENG,Fleetwood Town,22,2002,2.2,,Forward,0,4,1,25.0,1.85,0.46
David Harrington,WAL,Fleetwood Town,24,2000,14.0,,Goalkeeper,0,0,0,0,0.00,0.00
Kadeem Harris,ENG,Carlisle United,31,1993,1.7,,Midfielder,0,2,0,0.0,1.16,0.00
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90
Ellis Harrison,WAL,MK Dons,30,1994,2.5,,Forward,2,5,4,80.0,1.97,1.57
Sam Hart,ENG,Port Vale,28,1996,4.8,Midfielder,Defender,0,2,0,0.0,0.42,0.00
Josh Hawkes,ENG,Tranmere Rovers,25,1999,1.0,,Midfielder,0,1,0,0.0,0.97,0.00
Oliver Hawkins,ENG,Gillingham,32,1992,4.0,Defender,Forward,0,9,3,33.3,2.26,0.75
Aaron Hayden,ENG,Carlisle United,27,1997,7.0,,Defender,0,7,2,28.6,1.00,0.29
