player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,90s_stats_shooting,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,90s_stats_misc,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Jake Batty,ENG,Acc'ton Stanley,19,2005,6.5,Midfielder,Defender,6.5,0.0,5.0,2.0,40.0,0.77,0.31,11.1,12.0,999.0,6.5,0.0,21.0,11.0,10.0
Jay Benn,ENG,Bradford City,23,2001,3.5,Defender,Midfielder,3.5,0.0,2.0,0.0,0.0,0.57,0.0,13.0,13.0,1170.0,3.5,0.0,22.0,7.0,7.0
Scot Bennett,ENG,Cheltenham,33,1990,10.2,Midfielder,Defender,10.2,0.0,2.0,1.0,50.0,0.2,0.1,12.4,13.0,1113.0,10.2,0.0,1.0,26.0,14.0
James Berry,ENG,Chesterfield,23,2000,7.3,Not Available,Midfielder,7.3,5.0,19.0,9.0,47.4,2.6,1.23,12.4,13.0,1120.0,7.3,2.0,28.0,2.0,7.0
Teddy Bishop,ENG,Colchester Utd,28,1996,5.8,Not Available,Midfielder,5.8,0.0,12.0,5.0,41.7,2.08,0.87,10.2,12.0,914.0,5.8,0.0,18.0,4.0,8.0
Benicio Boaitey,ENG,Port Vale,20,2004,3.4,Not Available,Midfielder,3.4,0.0,7.0,1.0,14.3,2.08,0.3,7.3,12.0,658.0,3.4,0.0,25.0,0.0,4.0
Omar Bogle,ENG,Crewe Alexandra,31,1993,0.9,Not Available,Forward,0.9,0.0,3.0,1.0,33.3,3.38,1.13,8.9,9.0,798.0,0.9,0.0,4.0,1.0,0.0
Zak Bradshaw,ENG,Tranmere Rovers,21,2003,4.7,Defender,Midfielder,4.7,0.0,4.0,1.0,25.0,0.86,0.21,4.8,7.0,435.0,4.7,0.0,6.0,7.0,6.0
Kian Breckin,ENG,Crewe Alexandra,20,2003,3.3,Not Available,Midfielder,3.3,0.0,3.0,0.0,0.0,0.91,0.0,9.3,11.0,838.0,3.3,0.0,6.0,3.0,4.0
Ciaran Brennan,IRL,Newport County,24,2000,8.6,Midfielder,Defender,8.6,0.0,1.0,0.0,0.0,0.12,0.0,9.0,9.0,810.0,8.6,0.0,2.0,7.0,17.0
Ryan Broom,WAL,Fleetwood Town,28,1996,2.3,Not Available,Forward,2.3,0.0,0.0,0.0,0.0,0.0,0.0,7.7,11.0,690.0,2.3,0.0,6.0,0.0,3.0
Charlie Brown,ENG,Morecambe,25,1999,0.4,Not Available,Forward,0.4,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,810.0,0.4,0.0,0.0,0.0,0.0
Jevani Brown,JAM,Notts County,30,1994,1.6,Midfielder,Forward,1.6,0.0,5.0,3.0,60.0,3.04,1.82,4.7,9.0,419.0,1.6,1.0,0.0,1.0,1.0
Warren Burrell,ENG,Harrogate,34,1990,4.5,Not Available,Midfielder,4.5,0.0,1.0,1.0,100.0,0.22,0.22,8.6,9.0,777.0,4.5,1.0,3.0,8.0,3.0
Daniel Butterworth,ENG,Carlisle United,25,1999,0.5,Midfielder,Forward,0.5,0.0,2.0,1.0,50.0,4.09,2.05,4.9,8.0,442.0,0.5,1.0,4.0,0.0,0.0
Jake Cain,ENG,Swindon Town,23,2001,2.3,Not Available,Midfielder,2.3,0.0,2.0,1.0,50.0,0.88,0.44,8.9,10.0,797.0,2.3,0.0,11.0,1.0,2.0
Taylor Charters,ENG,Carlisle United,23,2001,1.3,Not Available,Forward,1.3,0.0,1.0,0.0,0.0,0.74,0.0,8.1,9.0,731.0,1.3,0.0,4.0,0.0,2.0
Daniel Chesters,ENG,Salford City,22,2002,5.0,Defender,Midfielder,5.0,0.0,3.0,1.0,33.3,0.6,0.2,12.9,13.0,1161.0,5.0,0.0,11.0,2.0,6.0
Adam Chicksen,ZIM,Notts County,33,1991,1.4,Not Available,Midfielder,1.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,541.0,1.4,0.0,6.0,1.0,1.0
Jayden Clarke,ENG,Gillingham,23,2001,9.7,Not Available,Midfielder,9.7,4.0,14.0,7.0,50.0,1.44,0.72,7.7,11.0,697.0,9.7,1.0,7.0,4.0,9.0
Ollie Clarke,ENG,Swindon Town,32,1992,5.0,Not Available,Midfielder,5.0,0.0,9.0,3.0,33.3,1.79,0.6,7.1,9.0,637.0,5.0,0.0,7.0,3.0,6.0
Harry Clifton,WAL,Doncaster,26,1998,9.2,Not Available,Midfielder,9.2,2.0,22.0,7.0,31.8,2.39,0.76,10.5,11.0,941.0,9.2,1.0,11.0,4.0,11.0
Ryan Colclough,ENG,Chesterfield,29,1994,3.5,Not Available,Midfielder,3.5,0.0,9.0,2.0,22.2,2.56,0.57,5.0,7.0,448.0,3.5,0.0,13.0,0.0,3.0
Joel Colwill,WAL,Cheltenham,19,2004,9.5,Not Available,Midfielder,9.5,2.0,18.0,4.0,22.2,1.89,0.42,5.7,9.0,514.0,9.5,0.0,11.0,2.0,10.0
Cameron Congreve,WAL,Bromley,20,2004,5.1,Forward,Midfielder,5.1,0.0,10.0,1.0,10.0,1.97,0.2,12.7,13.0,1141.0,5.1,0.0,32.0,1.0,3.0
