player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,90s,total_cmp%_stats_passing_per_90,ast_stats_passing_per_90,ppa_stats_passing_per_90,standard_gls_stats_shooting_per_90,standard_sot%_stats_shooting_per_90,sca_sca_stats_gca_per_90,gca_gca_stats_gca_per_90,touches_mid_3rd_stats_possession_per_90,touches_att_3rd_stats_possession_per_90,take_ons_succ_stats_possession_per_90,carries_prgc_stats_possession_per_90,receiving_prgr_stats_possession_per_90,tackles_mid_3rd_stats_defense_per_90,aerial_duels_won%_stats_misc_per_90,performance_crs_stats_misc_per_90,tackles_tkl_stats_defense_per_90,int_stats_defense_per_90,performance_recov_stats_misc_per_90
Giorgi Chakvetadze,GEO,Watford,25,1999,14.4,Midfielder,968.0,75.9,3,13,1,25.9,78,7,329,373,28,80,88,8,41.2,76,13,4,54,10.755555555555556,7.056818181818182,0.2789256198347107,1.2086776859504131,0.09297520661157024,2.4080578512396693,7.252066115702479,0.6508264462809917,30.58884297520661,34.6797520661157,2.603305785123967,7.438016528925619,8.181818181818182,0.743801652892562,3.830578512396694,7.066115702479339,1.2086776859504131,0.371900826446281,5.020661157024793
Tawanda Chirewa,ZIM,Derby County,21,2003,0.9,Midfielder,971.0,76.0,0,0,0,100.0,3,0,25,9,2,0,5,2,0.0,0,3,1,5,10.78888888888889,7.044284243048403,0.0,0.0,0.0,9.268795056642636,0.27806385169927905,0.0,2.317198764160659,0.8341915550978373,0.1853759011328527,0.0,0.4634397528321318,0.1853759011328527,0.0,0.0,0.27806385169927905,0.09268795056642636,0.4634397528321318
Tahith Chong,NED,Luton Town,24,1999,10.8,Midfielder,444.0,75.4,0,7,2,28.6,20,2,190,174,17,31,55,3,36.8,28,8,1,41,4.933333333333334,15.283783783783784,0.0,1.4189189189189189,0.4054054054054054,5.797297297297297,4.0540540540540535,0.4054054054054054,38.51351351351351,35.27027027027027,3.4459459459459456,6.283783783783783,11.148648648648647,0.6081081081081081,7.459459459459459,5.675675675675675,1.6216216216216215,0.2027027027027027,8.31081081081081
Benjamin Chrisene,ENG,Norwich City,20,2004,4.7,Defender,547.0,84.2,0,3,1,100.0,4,0,122,69,4,9,14,4,21.4,6,9,3,26,6.0777777777777775,13.853747714808044,0.0,0.4936014625228519,0.16453382084095064,16.453382084095065,0.6581352833638026,0.0,20.073126142595978,11.352833638025595,0.6581352833638026,1.480804387568556,2.303473491773309,0.6581352833638026,3.5210237659963437,0.9872029250457038,1.480804387568556,0.4936014625228519,4.2778793418647165
Dennis Cirkin,ENG,Sunderland,22,2002,15.0,Defender,1164.0,75.4,1,3,2,27.8,28,4,372,201,14,36,48,14,49.0,16,51,27,51,12.933333333333334,5.8298969072164954,0.07731958762886598,0.23195876288659795,0.15463917525773196,2.149484536082474,2.1649484536082473,0.30927835051546393,28.762886597938145,15.541237113402062,1.0824742268041236,2.783505154639175,3.711340206185567,1.0824742268041236,3.788659793814433,1.2371134020618557,3.9432989690721647,2.0876288659793816,3.9432989690721647
Jack Clarke,ENG,Sunderland,23,2000,2.0,Forward,1350.0,76.5,1,1,1,50.0,10,2,39,38,7,6,13,0,50.0,7,2,0,9,15.0,5.1,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.3333333333333335,0.6666666666666666,0.13333333333333333,2.6,2.533333333333333,0.4666666666666667,0.4,0.8666666666666667,0.0,3.3333333333333335,0.4666666666666667,0.13333333333333333,0.0,0.6
Josh Coburn,ENG,Millwall,21,2002,2.5,Forward,879.0,54.8,0,0,2,40.0,2,2,27,30,3,1,5,3,40.0,0,4,1,7,9.766666666666667,5.610921501706484,0.0,0.0,0.20477815699658702,4.09556313993174,0.20477815699658702,0.20477815699658702,2.7645051194539247,3.0716723549488054,0.3071672354948805,0.10238907849829351,0.5119453924914675,0.3071672354948805,4.09556313993174,0.0,0.40955631399317405,0.10238907849829351,0.7167235494880545
Jack Colback,ENG,QPR,35,1989,3.0,Midfielder,697.0,88.5,0,0,0,0.0,1,0,71,19,2,0,1,1,25.0,0,2,2,6,7.7444444444444445,11.42754662840746,0.0,0.0,0.0,0.0,0.1291248206599713,0.0,9.167862266857963,2.4533715925394546,0.2582496413199426,0.0,0.1291248206599713,0.1291248206599713,3.2281205164992826,0.0,0.2582496413199426,0.2582496413199426,0.7747489239598279
Devante Cole,ENG,West Brom,29,1995,0.5,Forward,932.0,50.0,0,0,0,100.0,1,0,6,10,0,1,3,0,46.2,0,1,0,1,10.355555555555556,4.828326180257511,0.0,0.0,0.0,9.656652360515022,0.09656652360515021,0.0,0.5793991416309012,0.9656652360515021,0.0,0.09656652360515021,0.2896995708154506,0.0,4.46137339055794,0.0,0.09656652360515021,0.0,0.09656652360515021
Bradley Collins,ENG,Coventry City,27,1997,1.0,Goalkeeper,1099.0,68.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,12.21111111111111,5.568698817106461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0818926296633303,0.0,0.0
James Collins,IRL,Derby County,33,1990,1.8,Forward,693.0,56.4,0,1,0,0.0,2,0,27,25,0,1,7,0,30.0,1,1,1,6,7.7,7.324675324675324,0.0,0.12987012987012986,0.0,0.0,0.2597402597402597,0.0,3.5064935064935066,3.2467532467532467,0.0,0.12987012987012986,0.9090909090909091,0.0,3.896103896103896,0.12987012987012986,0.12987012987012986,0.12987012987012986,0.7792207792207793
Rubin Colwill,WAL,Cardiff City,22,2002,12.0,Midfielder,1300.0,80.8,3,12,1,47.1,55,4,287,253,28,40,66,11,53.8,27,23,3,63,14.444444444444445,5.593846153846154,0.20769230769230768,0.8307692307692307,0.06923076923076923,3.2607692307692306,3.8076923076923075,0.27692307692307694,19.869230769230768,17.515384615384615,1.9384615384615385,2.769230769230769,4.569230769230769,0.7615384615384615,3.7246153846153844,1.8692307692307693,1.5923076923076922,0.20769230769230768,4.361538461538461
Aaron Connolly,IRL,Sunderland,24,2000,1.7,Forward,1236.0,77.8,0,0,0,100.0,0,0,10,11,2,0,5,1,16.7,0,1,0,2,13.733333333333333,5.665048543689321,0.0,0.0,0.0,7.281553398058253,0.0,0.0,0.7281553398058253,0.8009708737864079,0.14563106796116507,0.0,0.3640776699029126,0.07281553398058253,1.2160194174757282,0.0,0.07281553398058253,0.0,0.14563106796116507
Jake Cooper,ENG,Millwall,29,1995,14.5,Defender,1026.0,69.8,1,1,2,35.0,14,3,212,64,1,3,7,2,73.5,0,8,5,34,11.4,6.12280701754386,0.08771929824561403,0.08771929824561403,0.17543859649122806,3.070175438596491,1.2280701754385965,0.2631578947368421,18.596491228070175,5.614035087719298,0.08771929824561403,0.2631578947368421,0.6140350877192983,0.17543859649122806,6.447368421052631,0.0,0.7017543859649122,0.43859649122807015,2.982456140350877
Charlie Crew,WAL,Leeds United,18,2006,0.1,Midfielder,974.0,83.3,0,0,0,100.0,0,0,4,3,0,0,0,0,0.0,0,0,0,1,10.822222222222223,7.697125256673511,0.0,0.0,0.0,9.240246406570842,0.0,0.0,0.36960985626283366,0.27720739219712526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09240246406570841
Ante Crnac,CRO,Norwich City,20,2003,10.0,Forward,419.0,72.0,0,3,1,45.5,19,1,142,124,11,20,39,4,50.0,5,14,0,25,4.655555555555556,15.465393794749403,0.0,0.6443914081145584,0.21479713603818615,9.77326968973747,4.081145584725537,0.21479713603818615,30.501193317422434,26.634844868735083,2.3627684964200477,4.295942720763723,8.37708830548926,0.8591885441527446,10.739856801909307,1.0739856801909307,3.007159904534606,0.0,5.369928400954653
