,player,nation_stats_standard,squad,position_stats_standard,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,playing_time_min_stats_playing_time,total_cmp%_stats_passing,ast_stats_passing,ppa_stats_passing,standard_gls_stats_shooting,standard_sot%_stats_shooting,sca_sca_stats_gca,gca_gca_stats_gca,touches_mid_3rd_stats_possession,touches_att_3rd_stats_possession,take_ons_succ_stats_possession,carries_prgc_stats_possession,receiving_prgr_stats_possession,tackles_mid_3rd_stats_defense,aerial_duels_won%_stats_misc,performance_crs_stats_misc,tackles_tkl_stats_defense,int_stats_defense,performance_recov_stats_misc,value
67,Ethan Hamilton,SCO,Lincoln City,Midfielder,26,1998,1.2,1080.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,450000.0
68,Emil Hansson,SWE,Birmingham City,Midfielder,26,1998,6.2,695.0,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1500000.0
69,Vincent Harper,KEN,Exeter City,Midfielder,24,2000,0.7,916.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,200000.0
70,Kian Harratt,ENG,Huddersfield,Forward,22,2002,0.2,882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
71,Rhys Healey,WAL,Huddersfield,Forward,29,1994,1.3,741.0,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1200000.0
72,Gavan Holohan,IRL,Crawley Town,Midfielder,32,1991,0.5,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100000.0
73,William Hondermarck,CGO,Northampton,Midfielder,23,2000,2.4,793.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
74,Sam Hoskins,ENG,Northampton,Midfielder,31,1993,8.1,738.0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,225000.0
75,Joe Hugill,ENG,Wigan Athletic,Forward,21,2003,6.0,983.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
76,Stephen Humphrys,ENG,Barnsley,Forward,27,1997,4.4,557.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,500000.0
77,Joseph Hungbo,ENG,Rotherham Utd,Midfielder,24,2000,2.8,900.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,500000.0
78,Jack Hunt,ENG,Bristol Rovers,Midfielder,33,1990,2.3,574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,100000.0
79,Tomoki Iwata,JPN,Birmingham City,Midfielder,27,1997,7.0,896.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1200000.0
80,Diallang Jaiyesimi,ENG,Leyton Orient,Forward,26,1998,1.0,613.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,225000.0
82,Sullay Kaikai,SLE,Cambridge Utd,Midfielder,29,1995,5.1,427.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,250000.0
83,Tomas Kalinauskas,LTU,Burton Albion,Midfielder,24,2000,6.9,523.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,125000.0
84,Davis Keillor-Dunn,ENG,Mansfield Town,Midfielder,26,1997,2.7,683.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,750000.0
85,Davis Keillor-Dunn,ENG,Barnsley,Midfielder,26,1997,6.6,848.0,0.0,0.0,0.0,3.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,750000.0
86,Charlie Kelman,USA,Leyton Orient,Forward,22,2001,12.0,955.0,0.0,0.0,0.0,3.0,51.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,300000.0
87,Brandon Khela,ENG,Birmingham City,Midfielder,19,2005,0.2,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
