player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Tyrese Francois,AUS,Wigan Athletic,24,2000,3.4,,Midfielder,0,3,0,0.0,0.87,0.00,3.1,8,280,0,5,6,8
Nick Freeman,ENG,Stevenage,29,1995,4.7,,Midfielder,0,1,0,0.0,0.21,0.00,0.2,1,19,0,8,3,3
Lewis Freestone,ENG,Stevenage,25,1999,7.1,,Defender,0,4,2,50.0,0.56,0.28,1.1,3,98,0,5,3,10
Jordan Gabriel,ENG,Blackpool,26,1998,11.3,,Defender,0,8,4,50.0,0.71,0.35,5.5,12,497,1,13,12,4
Ethan Galbraith,NIR,Leyton Orient,23,2001,13.9,,Midfielder,3,13,6,46.2,0.93,0.43,3.3,11,296,5,15,9,12
Andre Garcia,,Reading,0,0,6.7,,Defender,0,2,0,0.0,0.30,0.00,0.7,1,60,0,2,9,14
Che Gardner,,Stockport,0,0,0.0,,Midfielder,0,0,0,0,0.00,0.00,6.2,8,557,0,0,0,1
Taylor Gardner-Hickman,ENG,Birmingham City,22,2001,5.9,Midfielder,Defender,0,1,0,0.0,0.17,0.00,11.1,12,1003,0,31,7,4
Jake Garrett,ENG,Bristol Rovers,21,2003,3.3,,Midfielder,0,4,1,25.0,1.21,0.30,0.6,4,55,0,9,4,8
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Georgie Gent,ENG,Barnsley,21,2003,7.7,,Midfielder,0,6,1,16.7,0.78,0.13,7.2,13,652,0,39,10,16
Maël Durand de Gevigney,FRA,Barnsley,25,1999,17.0,,Defender,0,7,0,0.0,0.41,0.00,1.9,3,172,0,4,36,26
James Gibbons,ENG,Cambridge Utd,26,1998,8.2,Defender,Midfielder,0,6,1,16.7,0.74,0.12,7.0,10,627,0,10,16,9
Macaulay Gillesphey,ENG,Charlton Ath,29,1995,14.2,,Defender,1,2,1,50.0,0.14,0.07,7.9,14,711,1,13,15,20
Alex Gilliead,ENG,Shrewsbury,28,1996,12.8,,Midfielder,0,7,0,0.0,0.55,0.00,7.7,10,691,0,20,8,25
Ciaran Gilligan,ENG,Burton Albion,22,2002,2.7,,Midfielder,0,0,0,0,0.00,0.00,11.5,15,1031,0,1,1,3
Brodie Gilmore,NIR,Huddersfield,20,2004,9.5,Midfielder,Defender,0,6,1,16.7,0.63,0.11,3.4,5,309,0,31,17,22
Matthew Godden,ENG,Charlton Ath,33,1991,9.3,Midfielder,Forward,5,24,9,37.5,2.58,0.97,4.7,11,419,1,4,0,1
Charlie Goode,ENG,Stevenage,29,1995,2.7,Midfielder,Defender,0,1,0,0.0,0.36,0.00,7.1,8,643,0,1,2,2
Jordan Graham,ENG,Leyton Orient,29,1995,1.9,Forward,Defender,0,0,0,0,0.00,0.00,11.3,13,1018,0,25,3,0
Lee Gregory,ENG,Mansfield Town,36,1988,10.2,,Forward,7,27,13,48.1,2.64,1.27,13.9,14,1253,5,5,7,11
Joshua Griffiths,ENG,Bristol Rovers,23,2001,17.0,,Goalkeeper,0,1,0,0.0,0.06,0.00,6.7,12,603,0,0,0,0
Jack Grimmer,SCO,Wycombe,30,1994,10.6,,Defender,0,4,0,0.0,0.38,0.00,0.0,1,1,1,12,15,18
Daniel Grimshaw,ENG,Blackpool,26,1998,2.0,,Goalkeeper,0,0,0,0,0.00,0.00,5.9,10,534,0,0,0,0
Nesta Guinness-Walker,ENG,Northampton,24,1999,8.3,,Defender,0,4,0,0.0,0.48,0.00,3.3,6,298,0,16,12,9
Jon Guthrie,ENG,Northampton,32,1992,17.0,,Defender,1,8,5,62.5,0.47,0.29,7.7,11,696,0,1,32,13
Reeco Hackett-Fairchild,LCA,Lincoln City,26,1998,3.3,,Midfielder,0,5,2,40.0,1.50,0.60,0,0,0,2,24,2,5
Tom Hamer,ENG,Lincoln City,25,1999,5.8,,Defender,2,4,3,75.0,0.69,0.52,17.0,17,1530,1,7,4,3
CJ Hamilton,IRL,Blackpool,29,1995,10.3,,Midfielder,2,11,6,54.5,1.06,0.58,8.2,12,734,2,22,12,14
Ethan Hamilton,SCO,Lincoln City,26,1998,5.3,,Midfielder,0,7,2,28.6,1.31,0.37,0,0,0,0,3,3,7
Brandon Hanlan,ENG,Wycombe,27,1997,0.3,,Forward,0,1,0,0.0,2.90,0.00,14.2,15,1276,1,0,0,0
Emil Hansson,SWE,Birmingham City,26,1998,6.2,,Midfielder,0,11,7,63.6,1.76,1.12,12.8,13,1152,0,28,0,4
Dan Happe,ENG,Leyton Orient,26,1998,11.7,,Defender,1,9,3,33.3,0.77,0.26,2.7,6,245,1,2,13,7
Vincent Harper,KEN,Exeter City,24,2000,2.2,,Midfielder,0,2,1,50.0,0.90,0.45,9.5,13,852,2,11,1,6
Kian Harratt,ENG,Huddersfield,22,2002,0.2,,Forward,0,0,0,0,0.00,0.00,9.3,15,836,0,0,0,0
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Luke Harris,WAL,Birmingham City,19,2005,3.8,,Midfielder,1,4,3,75.0,1.05,0.78,2.7,4,247,0,3,0,3
Alex Hartridge,ENG,Wycombe,25,1999,3.0,,Defender,0,1,0,0.0,0.33,0.00,1.9,8,172,0,1,1,5
Daniel Harvie,SCO,Wycombe,26,1998,15.9,,Defender,1,11,2,18.2,0.69,0.13,10.2,12,921,0,58,15,22
Cian Hayes,IRL,P'borough Utd,21,2003,2.2,,Midfielder,0,1,0,0.0,0.45,0.00,17.0,17,1530,0,4,4,4
Jack Hazlehurst,ENG,Burton Albion,25,1999,1.3,,Midfielder,0,1,0,0.0,0.79,0.00,10.6,14,953,0,2,0,3
Jaheim Headley,ENG,Huddersfield,23,2001,3.3,,Midfielder,0,3,0,0.0,0.91,0.00,2.0,2,180,0,27,1,4
Rhys Healey,WAL,Huddersfield,29,1994,2.6,,Forward,1,9,4,44.4,3.48,1.55,8.3,9,743,4,1,0,1
Michał Helik,POL,Huddersfield,29,1995,7.9,,Defender,1,4,2,50.0,0.50,0.25,17.0,17,1530,0,0,11,9
Zachary Hemming,ENG,Leyton Orient,24,2000,10.0,,Goalkeeper,0,0,0,0,0.00,0.00,3.3,5,300,0,0,0,0
Rushian Hepburn-Murphy,ENG,Crawley Town,26,1998,8.7,Midfielder,Forward,3,13,5,38.5,1.50,0.58,0,0,0,2,7,5,7
Elliott Hewitt,WAL,Mansfield Town,30,1994,10.1,Defender,Midfielder,0,5,0,0.0,0.50,0.00,5.8,11,521,1,44,7,10
Ben Hinchliffe,ENG,Stockport,36,1988,3.5,,Goalkeeper,0,0,0,0,0.00,0.00,10.3,12,931,0,0,0,0
Joseph Hodge,IRL,Huddersfield,22,2002,3.0,,Midfielder,1,6,3,50.0,1.97,0.99,5.3,9,481,0,10,3,3
Jonathan Hogg,ENG,Huddersfield,35,1988,6.8,,Midfielder,0,1,0,0.0,0.15,0.00,0.3,3,31,0,1,8,16
Jack Holmes,ENG,Rotherham Utd,23,2001,2.4,,Midfielder,0,2,1,50.0,0.82,0.41,6.2,11,562,0,3,3,1
Gavan Holohan,IRL,Crawley Town,32,1991,1.5,,Midfielder,0,3,0,0.0,1.94,0.00,11.7,13,1053,0,5,1,0
Louie Holzman,ENG,Reading,21,2003,1.0,,Defender,0,0,0,0,0.00,0.00,2.2,4,199,0,0,0,1
William Hondermarck,CGO,Northampton,24,2000,5.3,,Midfielder,0,5,4,80.0,0.94,0.75,0.2,2,14,1,0,4,13
Luca Hoole,WAL,Shrewsbury,22,2002,9.1,,Defender,0,2,0,0.0,0.22,0.00,3.8,8,344,0,17,21,23
Fraser Horsfall,ENG,Stockport,28,1996,15.5,,Defender,1,18,7,38.9,1.16,0.45,3.0,4,274,2,1,10,16
Sam Hoskins,ENG,Northampton,31,1993,10.9,Forward,Midfielder,1,25,9,36.0,2.29,0.82,15.9,16,1433,2,20,15,7
Conor Hourihane,IRL,Barnsley,33,1991,0.9,,Midfielder,0,0,0,0,0.00,0.00,2.2,9,202,0,2,0,1
Ben House,ENG,Lincoln City,25,1999,11.1,,Forward,4,23,10,43.5,2.07,0.90,1.3,2,114,5,4,5,13
Charlie Hughes,ENG,Wigan Athletic,21,2003,0.2,,Defender,0,0,0,0,0.00,0.00,3.3,6,298,0,0,0,0
Sam Hughes,ENG,Stockport,27,1997,2.4,,Defender,0,1,0,0.0,0.41,0.00,2.6,6,233,0,1,4,1
Player,,Squad,Ag,Born,90s,,Po,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,90s,MP,Min,Off,Crs,Int,TklW
Joe Hugill,ENG,Wigan Athletic,21,2003,6.0,,Forward,2,10,5,50.0,1.65,0.83,7.9,10,714,4,0,1,2
Jordan Hugill,ENG,Rotherham Utd,32,1992,5.2,,Forward,1,12,2,16.7,2.30,0.38,10.0,10,900,3,5,2,0
Cameron Humphreys,ENG,Rotherham Utd,26,1998,14.0,,Defender,1,10,4,40.0,0.71,0.29,8.7,16,779,0,2,17,8
Cameron Humphreys,ENG,Wycombe,21,2003,10.2,,Midfielder,3,27,9,33.3,2.64,0.88,10.1,13,907,1,17,6,12
Stephen Humphrys,ENG,Barnsley,27,1997,8.4,Midfielder,Forward,4,28,13,46.4,3.33,1.55,3.5,4,315,3,8,0,3
Joseph Hungbo,ENG,Rotherham Utd,24,2000,4.5,Forward,Midfielder,0,2,1,50.0,0.45,0.22,3.0,7,274,1,26,2,4
Jack Hunt,ENG,Bristol Rovers,33,1990,2.6,,Midfielder,0,0,0,0,0.00,0.00,6.8,11,608,0,6,4,2
James Husband,ENG,Blackpool,30,1994,10.4,,Defender,3,5,3,60.0,0.48,0.29,2.4,11,220,0,17,13,12
