player,nation_stats_standard,squad,age_stats_standard,born_stats_standard,playing_time_90s_stats_standard,position_2_stats_standard,position_stats_standard,standard_gls_stats_shooting,standard_sh_stats_shooting,standard_sot_stats_shooting,standard_sot%_stats_shooting,standard_sh_90_stats_shooting,standard_sot_90_stats_shooting,playing_time_90s_stats_playing_time,playing_time_mp_stats_playing_time,playing_time_min_stats_playing_time,performance_off_stats_misc,performance_crs_stats_misc,performance_int_stats_misc,performance_tklw_stats_misc
Ben Quinn,IRL,Mansfield Town,20,2004,0.0,,Forward,0,0,0,0,0.00,0.00,13.0,13,1170,0,0,0,0
Stephen Quinn,IRL,Mansfield Town,38,1986,7.7,,Midfielder,1,9,3,33.3,1.17,0.39,9.9,11,894,3,43,9,9
Junior Quitirna,ENG,Crawley Town,24,2000,8.2,,Midfielder,4,21,7,33.3,2.55,0.85,11.0,12,993,5,21,8,7
Bojan Radulovic,SRB,Huddersfield,24,1999,6.0,,Forward,1,10,5,50.0,1.67,0.83,0,0,0,5,5,2,2
Joe Rafferty,IRL,Rotherham Utd,31,1993,12.0,,Defender,0,7,1,14.3,0.58,0.08,14.0,14,1260,0,46,9,5
Sean Raggett,ENG,Rotherham Utd,31,1993,4.0,,Defender,0,2,0,0.0,0.50,0.00,0,0,0,1,0,1,2
Calvin Ramsay,SCO,Wigan Athletic,21,2003,3.4,,Defender,0,7,0,0.0,2.07,0.00,3.5,7,318,0,13,3,1
Kayne Ramsey,ENG,Charlton Ath,24,2000,9.3,Defender,Midfielder,0,3,0,0.0,0.32,0.00,5.8,15,525,0,19,12,17
Joel Randall,ENG,P'borough Utd,25,1999,10.9,,Midfielder,4,21,10,47.6,1.93,0.92,10.5,14,946,0,25,2,6
Dion Rankine,ENG,Wigan Athletic,22,2002,9.9,,Midfielder,1,10,4,40.0,1.01,0.40,1.4,4,127,2,25,4,8
Oliver Rathbone,ENG,Wrexham,28,1996,5.9,,Midfielder,1,5,2,40.0,0.84,0.34,3.8,7,343,3,7,3,13
Franco Ravizzoli,ARG,Wycombe,27,1997,14.0,,Goalkeeper,0,0,0,0,0.00,0.00,6.6,10,597,0,0,0,0
